"astro-ph/0001226","Dr Paul A. Crowther","Paul A. Crowther (University College London)","Wind properties of Wolf-Rayet stars at low metallicity: Sk41 (SMC)","9 pages, 6 figures, accepted for A&A (main journal)",,,,"astro-ph",,"  The stellar properties of Sk41 (AB4, WN5h), the only known single Wolf-Rayet
star in the SMC, are derived from ultraviolet (IUE), optical (AAT) and near-IR
(NTT) spectroscopy. Contrary to expectations, the stellar properties of Sk41
are typical of equivalent WN stars in the Galaxy and LMC, with T=42kK,
log(L/Lo)=5.7, v_inf=1300 km/s, Mdot/sqrt(f)=3x10^-5 Mo/yr and H/He=2 by
number, where f is the volume filling factor. The stellar luminosity of Sk41 is
50% below the minimum value predicted by single star evolutionary models at the
metallicity of the SMC.
  Emission line luminosities of HeII 4686A and CIV 5801-12A in SMC WR stars are
not systematically lower than their Galactic and LMC counterparts. From 43
late-type and 59 early-type WN stars, log L(HeII)=36.0 erg/s and 35.8 erg/s
respectively, while log L(CIV)=36.5 erg/s from 25 early-type WC stars. This new
calibration has application in deriving WR populations in young starburst
galaxies.
  Synthetic WN models are calculated with identical parameters except that
metal abundances are varied. Following the Smith et al. WN classification
scheme, CNO equilibrium models reveal that earlier spectral types are predicted
at lower metallicity, i.e. WN3--4 at 0.04 Z(solar) versus WN6 at 1.0 Z(solar).
This provides an explanation for the trend towards earlier WN spectral types at
low metallicity.
","[{""version"":""v1"",""created"":""Thu, 13 Jan 2000 16:32:00 GMT""}]","2007-05-23"
"astro-ph/0001227","Tariq Shahbaz","T. Shahbaz (Oxford), P. Groot (Amsterdam), S.N. Phillips (Oxford), J.
  Casares (IAC), P.A. Charles (Oxford), J. van Paradijs (Amsterdam)","Irradiation of the secondary star in X-ray Nova Scorpii 1994 (=GRO
  J1655--40)","5 pages, 2 figures, accepted by MNRAS",,"10.1046/j.1365-8711.2000.03341.x",,"astro-ph",,"  We have obtained intermediate resolution optical spectra of the black-hole
candidate Nova Sco 1994 in June 1996, when the source was in an X-ray/optical
active state (R~15.05). We measure the radial velocity curve of the secondary
star and obtain a semi-amplitude of 279+/-10 km/s; a value which is 30 per cent
larger than the value obtained when the source is in quiescence. Our large
value for K_2 is consistent with 60 +9,-7 per cent of the secondary star's
surface being heated; compared to 35 per cent, which is what one would expect
if only the inner face of the secondary star were irradiated. Effects such as
irradiation-induced flows on the secondary star may be important in explaining
the observed large value for K_2.
","[{""version"":""v1"",""created"":""Thu, 13 Jan 2000 16:36:18 GMT""}]","2009-10-31"
"astro-ph/0001228","Dr Paul A. Crowther","Luc Dessart (UCL), Paul A. Crowther (UCL), D. John Hillier
  (Pittsburgh) Allan J. Willis (UCL), Patrick W. Morris (Amsterdam), Karel A.
  van der Hucht (Utrecht)","Quantitative analysis of WC stars: Constraints on neon abundances from
  ISO/SWS spectroscopy","16 pages,7 figures accepted for MNRAS","Mon.Not.Roy.Astron.Soc. 315 (2000) 407","10.1046/j.1365-8711.2000.03399.x",,"astro-ph",,"  Neon abundances are derived in four Galactic WC stars -- gamma Vel (WR11,
WC8+O7.5III), HD156385 (WR90, WC7), HD192103 (WR135, WC8), and WR146 (WC5+O8) -
using mid-infrared fine structure lines obtained with ISO/SWS. Stellar
parameters for each star are derived using a non-LTE model atmospheric code
(Hillier & Miller 1998) together with ultraviolet (IUE), optical (INT, AAT) and
infrared (UKIRT, ISO) spectroscopy. In the case of gamma Vel, we adopt results
from De Marco et al. (2000), who followed an identical approach.
  ISO/SWS datasets reveal the [NeIII] 15.5um line in each of our targets, while
[NeII] 12.8um, [SIV] 10.5um and [SIII] 18.7um are observed solely in gamma Vel.
Using a method updated from Barlow et al. (1988) to account for clumped winds,
we derive Ne/He=3-4x10^-3 by number, plus S/He=6x10^-5 for gamma Vel. Neon is
highly enriched, such that Ne/S in gamma Vel is eight times higher than cosmic
values. However, observed Ne/He ratios are a factor of two times lower than
predictions of current evolutionary models of massive stars. An imprecise
mass-loss and distance were responsible for the much greater discrepancy in
neon content identified by Barlow et al.
  Our sample of WC5--8 stars span a narrow range in T* (=55--71kK), with no
trend towards higher temperature at earlier spectral type, supporting earlier
results for a larger sample by Koesterke & Hamann (1995). Stellar luminosities
range from 100,000 to 500,000 Lo, while 10^-5.1 < Mdot/(Mo/yr) < 10^-4.5,
adopting clumped winds, in which volume filling factors are 10%. In all cases,
wind performance numbers are less than 10, significantly lower than recent
estimates. Carbon abundances span 0.08 < C/He < 0.25 by number, while oxygen
abundances remain poorly constrained.
","[{""version"":""v1"",""created"":""Thu, 13 Jan 2000 17:09:15 GMT""}]","2009-10-31"
"astro-ph/0001229","Donald Terndrup","J. R. Stauffer (1), R. D. Jeffries (2), E. L. Martin (3), and D. M.
  Terndrup (4) ((1) Center for Astrophysics, (2) Department of Physics, Keele
  University, (3) Planetary Sciences Division, Caltech, (4) Department of
  Astronomy, Ohio State University)","Ages, Distances, and the Initial Mass Functions of Stellar Clusters","13 pages, including 3 embedded figures (4 EPS files). To appear in
  ""11th Cambridge Workshop on Cool Stars, Stellar Systems, and the Sun,"" ed. R.
  J. Garcia Lopez, R. Rebolo, and M. R. Zapatero Osorio",,,,"astro-ph",,"  We provide a review of the current status of several topics on the ages,
distances, and mass functions of open clusters, with a particular emphasis on
illuminating the areas of uncertainty. Hipparcos has obtained parallaxes for
nearby open clusters that have expected accuracies much better than has been
previously achievable. By using the lithium depletion boundary method and
isochrone fitting based on much improved new theoretical evolutionary models
for low mass stars, it is arguable that we will soon have have much better age
scales for clusters and star-forming regions. With improved optical and near-IR
cameras, we are just now beginning to extend the mass function of open clusters
like the Pleiades into the regime below the hydrogen burning mass limit.
Meanwhile, observations in star-forming regions are in principle capable of
identifying objects down to of order 10 Jupiter masses.
","[{""version"":""v1"",""created"":""Thu, 13 Jan 2000 17:10:33 GMT""}]","2007-05-23"
"astro-ph/0001230","Sean G. Ryan","Sean G. Ryan","7Li in Metal-Poor Stars: The Spread of the Li Plateau","Proc. IAU Symp. 198, ""The Light Elements and Their Evolution"", L. da
  Silva, R. de Medeiros, & M. Spite (eds), ASP Conf. Ser. xxx (2000). 10 pages
  including 5 figures",,,,"astro-ph",,"  A highly homogeneous study of 23 halo field dwarf stars has achieved a Li
abundance accuracy of 0.033 dex per star. The work shows that the intrinsic
spread of the Li abundances of these stars at a given metallicity is <0.02 dex,
and consistent with zero. That is, the Spite Li plateau for halo field dwarfs
is incredibly thin. The thinness rules out depletion by more than 0.1 dex by a
rotational-induced extra-mixing mechanism. Despite the thinness of the plateau,
an increase of Li with [Fe/H] is seen, interpreted as evidence of Galactic
chemical evolution (GCE) of Li, primarily due to Galactic cosmic ray (GCR)
spallation reactions in the era of halo formation. The rate of Li evolution is
concordant with: (1) observations of spallative 6Li in halo dwarfs; (2) GCE
models; and (3) data on Li in higher metallicity halo stars. New data have also
revealed four new ultra-Li-deficient halo dwarfs, doubling the number known.
Based on their propensity to cluster at the halo main sequence turnoff and also
to exist redward of the turnoff, we hypothesise that they are the products of
binary mergers that ultimately will become blue stragglers. We explain their
low Li abundances by normal pre-main-sequence (and possibly main-sequence)
destruction in the low mass stars prior to their merging. If this explanation
is correct, then such stars need no longer be considered an embarrassment to
the existence of negligible Li destruction in the majority of field halo
dwarfs.
","[{""version"":""v1"",""created"":""Thu, 13 Jan 2000 17:37:55 GMT""}]","2007-05-23"
"astro-ph/0001231","Sergio Molinari","Sergio Molinari, Jan Brand, Riccardo Cesaroni, Francesco Palla","A search for precursors of Ultracompact HII Regions in a sample of
  luminous IRAS sources. III: Circumstellar Dust Properties","14 pages, 6 figures, to be published on Astronomy and Astrophysics",,,,"astro-ph",,"  The James Clerk Maxwell Telescope has been used to obtain submillimeter and
millimeter continuum photometry of a sample of 30 IRAS sources previously
studied in molecular lines and centimeter radio continuum. All the sources have
IRAS colours typical of very young stellar objects (YSOs) and are associated
with dense gas. In spite of their high luminosities (L>10000 solar units), only
ten of these sources are also associated with a radio counterpart. In 17 cases
we could identify a clear peak of millimeter emission associated with the IRAS
source, while in 9 sources the millimeter emission was extended or faint and a
clear peak could not be identified; upper limits were found in 4 cases only.
  Using simple greybody fitting model to the observed SED, we derive global
properties of the circumstellar dust. The dust temperature varies from 24 K to
45 K, while the exponent of the dust emissivity vs frequency power-law spans a
range 1.56<beta<2.38, characteristic of silicate dust; total circumstellar
masses range up to more than 500 solar masses.
  We find that for sources with comparable luminosities, the total column
densities derived from the dust masses do not distinguish between sources with
and without radio counterpart. We interpret this result as an indication that
dust does not play a dominant role in inhibiting the formation of the HII
region. We examine several scenarios for their origin in terms of newborn ZAMS
stars and although most of these fail to explain the observations, we cannot
exclude that these sources are young stars already on the ZAMS with modest
residual accretion that quenches the expansion of the HII region. Finally, we
consider the possibility that the IRAS sources are high-mass pre-ZAMS (or
pre-H-burning) objects deriving most of the emitted luminosity from accretion.
","[{""version"":""v1"",""created"":""Thu, 13 Jan 2000 17:45:39 GMT""}]","2007-05-23"
"astro-ph/0001232","Romano Corradi","Romano L.M. Corradi (Instituto de Astrofisica de Canarias, La Laguna,
  Tenerife, Spain)","Morphology vs. physical properties: some comments and questions","9 pages, to appear in ``Asymmetrical Planetary Nebulae II: from
  Origins to Microstructures,'' ASP Conference Series, Vol. 199, 2000; J.H.
  Kastner, N. Soker, & S.A. Rappaport, eds",,,,"astro-ph",,"  Some of the correlations between morphological and other physical properties
of planetary nebulae (PNe) are reviewed. In particular, the finding that
bipolar (b) PNe have more massive progenitors than the other morphological
classes is discussed in detail. Earlier results are confirmed; including all
the various sources of uncertainty, the Galactic distribution of objects
indicate that b PNe are formed by stars with initial masses >1.3 solar masses,
while elliptical (e) PNe by progenitors with masses <1.3 solar masses. Recent
results for the chemical abundances of b and e PNe and their orientation within
the Galaxy are also presented. Finally, the key role in the discussion of the
formation of b PNe played by detached binary systems such as symbiotic stars is
briefly discussed.
","[{""version"":""v1"",""created"":""Thu, 13 Jan 2000 18:08:47 GMT""}]","2007-05-23"
"astro-ph/0001233","Stuart D. Wick","Stuart D. Wick, Thomas W. Kephart, Thomas J. Weiler, and Peter L.
  Biermann","Signatures for a Cosmic Flux of Magnetic Monopoles","33 pages, 5 figures, revtex, to appear in Astro. Part. Phys","Astropart.Phys. 18 (2003) 663-687","10.1016/S0927-6505(02)00200-1","preprint VAND-TH-99-12","astro-ph hep-ex hep-ph",,"  Any early universe phase transition occurring after inflation has the
potential to populate the universe with relic magnetic monopoles. Observations
of galactic magnetic fields, as well as observations matched with models for
extragalactic magnetic fields, lead to the conclusion that monopoles of mass
$\lsim 10^{15}$ GeV are accelerated in these fields to relativistic velocities.
We explore the possible signatures of a cosmic flux of relativistic monopoles
impinging on the earth. The electromagnetically-induced signatures of monopoles
are reliable. The hadronically-induced signatures are highly model-dependent.
Among our findings are (i) the electromagnetic energy losses of monopoles
continuously initiate a protracted shower of small intensity; (ii) monopoles
may traverse the earth's diameter, making them a probe of the earth's interior
structure; (iii) in addition to the direct monopole Cherenkov signal presently
employed, a very attractive search strategy for monopoles is detection of their
radio-Cherenkov signal produced by the coherent charge-excess in the $e^+-e^-$
shower - in fact, Cherenkov-detectors have the potential to discover a monopole
flux (or limit it) several orders of magnitude below the theoretical Parker
limit of $10^{-15}/\rm{cm}^2$/s/sr; (iv) it is conceivable (but not compelling)
that bound states of colored monopoles may be the primary particles initiating
the air showers observed above the GZK cutoff.
","[{""version"":""v1"",""created"":""Thu, 13 Jan 2000 23:59:01 GMT""},{""version"":""v2"",""created"":""Thu, 20 Jan 2000 00:00:20 GMT""},{""version"":""v3"",""created"":""Fri, 28 Apr 2000 16:38:54 GMT""},{""version"":""v4"",""created"":""Wed, 4 Sep 2002 15:59:13 GMT""}]","2009-10-31"
"astro-ph/0001234","Romano Corradi","R.L.M. Corradi (1), M. Livio (2), H.E. Schwarz (3) & U. Munari (4)
  ((1) Instituto de Astrofisica de Canarias, Spain (2) Space Telescope Science
  Institute, USA (3) Nordic Optical Telescope, Spain (4) Osservatorio
  Astronomico di Padova, Italy)","Symbiotic Miras can do it","4 pages, to appear in ``Asymmetrical Planetary Nebulae II: from
  Origins to Microstructures,'' ASP Conference Series, Vol. 199, 2000; J.H.
  Kastner, N. Soker, & S.A. Rappaport, eds",,,,"astro-ph",,"  Symbiotic Miras give a nice practical demonstration of the formation of
bipolar and highly aspherical nebulae as a consequence of interaction in
detached binaries. We believe that these binary systems are among the most
promising candidates for the progenitors of bipolar planetary nebulae. We
present a list of the optically extended nebulae known to date around symbiotic
Miras, and illustrate their properties using recent HST and ESO-NTT [NII]
images of He 2-104 and He 2-147.
","[{""version"":""v1"",""created"":""Thu, 13 Jan 2000 18:17:43 GMT""}]","2007-05-23"
"astro-ph/0001235","Sean G. Ryan","Sean G. Ryan","Abundances in Very Metal-Poor Stars","Proc. 35th Liege International Astrophysics Colloquium, Liege, 1999
  ""The Galactic Halo: From Globular Clusters to Field Stars"" A. Noels, P.
  Magain, D. Caro, E. Jehin, G. Parmentier, & A. Thoul (eds) 16 pages including
  7 figures",,,,"astro-ph",,"  Metal-poor stars provide information on the characteristics and chemical
evolution of the halo population of the Galaxy, the first epoch of star
formation and Galaxy formation (not just locally but with relevance to
high-redshift objects), and big bang nucleosynthesis. This review looks at
recent developments in this subject.
","[{""version"":""v1"",""created"":""Thu, 13 Jan 2000 18:23:47 GMT""}]","2007-05-23"
