"astro-ph/0011225","Aleksej Moiseev","A.V. Moiseev (1) and V.V. Mustsevoi (2) ((1) Special Astrophysical
  Observatory RAS,(2) Volgograd State University)","The effect of projection on the observed gas velocity fields in barred
  galaxies","9 pages with 4 PS figures","Astronomy Letters,2000,v.26,pp. 565-571","10.1134/1.1307890",,"astro-ph",,"  The problem of determining the pattern of gas motions in the central cases --
noncircular motions in the triaxial bar potential and motions in circular
orbits but with orientation parameters different from those of the main disk --
are shown to have similar observational manifestations in the line-of-sight
velocity field of the gas. A reliable criterion is needed fo the observational
data to be properly interpreted. To find such a criterion, we analyze
two-dimensional nonlinear hydrodynamics models of gas motions in barred disk
galaxies. The gas line-of-sight velocity and surface brightness distributions
in the plane of the sky are constructed for various inclinations of the
galactic plane to the line-of-sight and bar orientation angles. We show that
using models of circular motions for inclinations $i > 60^\circ$ to analyze the
velocity field can lead to the erroneous conclusions of a ``tilted (polar)
disk'' at the circumnuclear region. However, it is possible to distinguish bars
from tilted disks by comparing the mutual orientations of the photometric and
dynamical axes. As an example, we consider the velocity field of the ionized
gas in the galaxy NGC 972.
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 14:48:37 GMT""}]","2009-10-31"
"astro-ph/0011226","Giuseppe Romeo","G. Romeo, S. Ali, B. Femenia, M. Limon, L. Piccirillo, R. Rebolo, R.
  Schaefer","Millimetric Ground Based Observation of CMBR Anisotropy at $\delta
  =+28^{\lowercase{o}}$","4 pages, 3 figure, 1 table. Submitted to APJ Letters, accepted
  11/3/2000",,,,"astro-ph",,"  Results from the third campaign of a ground-based multi-band observation of
the millimeter emission of the sky from Tenerife (Canary Islands) are
presented. The instrument consists of a 0.45 meter diameter off-axis telescope
equipped with a 4-band multi-mode $^3He$ cooled photometer working at 1.1, 1.3,
2.1 and 3.1{\notetoeditor{These are effective wavelengths}} mm wavelengths. The
beam is well approximated by a Gaussian with 1$% ^{o}$.35 Full Width Half
Maximum (FWHM) at all wavelengths. The wide wavelength coverage of our
instrument allows us to characterize and reduce both the atmospheric and
galactic contamination in our data. The CMBR data is analyzed in 6 multipole
bands whose centers span the range $\ell=39$ to $\ell =134$ at the two longest
wavelengths (2.1 and 3.1 mm). A likelihood analysis indicates that we have
detected fluctuations in all bands at the two wavelengths. We have evidence of
a rise in the angular power spectrum from low $\ell $ to high $\ell $. Our
measured spectrum is consistent with current popular theories of large scale
structure formation, COBE, and other recent balloon-borne experiments with
similar wavelength coverage.
","[{""version"":""v1"",""created"":""Sat, 11 Nov 2000 17:36:47 GMT""}]","2007-05-23"
"astro-ph/0011227","Yuri Izotov","K. J. Fricke (1), Y.I.Izotov (2), P.Papaderos (1), N.G.Guseva (2),
  T.X.Thuan (3) ((1) Universitats--Sternwarte, Goettingen, Germany, (2) Main
  Astronomical Observatory, Kyiv, Ukraine, (3) University of Virginia,
  Charlottesville, USA)","An imaging and spectroscopic study of the very metal-deficient blue
  compact dwarf galaxy Tol 1214--277","17 pages, 11 Postscript figures, uses emulateapj.sty, to appear in
  Astronomical Journal",,"10.1086/318016",,"astro-ph",,"  We present a spectrophotometric study based on VLT/FORS I observations of one
of the most metal-deficient blue compact dwarf (BCD) galaxies known, Tol
1214-277 (Z ~ Zsun/25). The data show that roughly half of the total luminosity
of the BCD originates from a bright and compact starburst region located at the
northeastern tip of a faint dwarf galaxy with cometary appearance. The
starburst has ignited less than 4 Myr ago and its emission is powered by
several thousands O7V stars and ~ 170 late-type nitrogen Wolf-Rayet stars
located within a compact region with < 500 pc in diameter. For the first time
in a BCD, a relatively strong [Fe V] 4227 emission line is seen which together
with intense He II 4686 emission indicates the presence of a very hard
radiation field in Tol 1214-277. We argue that this extraordinarily hard
radiation originates from both Wolf--Rayet stars and radiative shocks in the
starburst region. The structural properties of the low-surface-brightness (LSB)
component underlying the starburst have been investigated by means of surface
photometry down to 28 B mag/sq.arcsec. We find that, for a surface brightness
level fainter than ~ 24.5 B mag/sq.arcsec, an exponential fitting law provides
an adequate approximation to its radial intensity distribution. The broad-band
colors in the outskirts of the LSB component of Tol 1214-277 are nearly
constant and are consistent with an age below one Gyr. This conclusion is
supported by the comparison of the observed spectral energy distribution (SED)
of the LSB host with theoretical SEDs.
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 13:21:59 GMT""}]","2009-10-31"
"astro-ph/0011228","Jeff Scargle","Peter A. Sturrock (Stanford) and Jeffrey D. Scargle (NASA-Ames)","Histogram Analysis of Gallex, GNO and Sage Neutrino Data: Further
  Evidence for Variability of the Solar Neutrino Flux","PDF, 11 pages, 2 figures, submitted to Astrophysical Journal Letters","Astrophys.J. 550 (2001) L101-L104","10.1086/319482",,"astro-ph",,"  If the solar neutrino flux were constant, as is widely assumed, the histogram
of flux measurements would be unimodal. On the other hand, sinusoidal or
square-wave modulation (either periodic or stochastic) may lead to a bimodal
histogram. We here present evidence that the neutrino flux histogram is in fact
bimodal. We analyze all available data from gallium experiments, coordinating
results from the GALLEX and GNO experiments into one data set, and adopting
results from the SAGE experiment as another data set. The two histograms, from
the two data sets, are consistent in showing peaks in the range 45-75 SNU and
90-120 SNU, with a valley in between. By combining the data into one data set,
we may form more detailed histograms; these strengthen the case that the flux
is bimodal. A preliminary statistical analysis indicates that the bimodal
character of the solar neutrino flux is highly significant. Since the upper
peak is close to the expected flux (120-140 SNU), we may infer that the
neutrino deficit is due to time-varying attenuation of the flux produced in the
core. We estimate the time scale of this variation to be in the range 10-60
days. Attenuation that varies on such a time scale is suggestive of the
influence of solar rotation, and points towards a process involving the solar
magnetic field in conjunction with a nonzero neutrino magnetic moment.
","[{""version"":""v1"",""created"":""Sat, 11 Nov 2000 19:32:19 GMT""}]","2009-10-31"
"astro-ph/0011229","Paolo Padoan","Paolo Padoan, AAke Nordlund, Ornolfur Einar Rognvaldsson & Alyssa
  Goodman","Turbulent Fragmentation and the Initial Conditions for Star Formation","15 pages, 5 figures, submitted to ApJ",,,,"astro-ph",,"  Super-sonic turbulence fragments molecular clouds (MC) into a very complex
density field with density contrasts of several orders of magnitude. A fraction
of the gas is locked into dense and gravitationally bound cores, which collapse
as proto-stars. This process can be studied with numerical simulations of
super-sonic self-gravitating turbulence.
  In this work, we use numerical simulations of magneto-hydrodynamic (MHD),
super-sonic, super-Alfv\'{e}nic and self-gravitating turbulence to compute the
mass distribution of collapsing proto-stellar cores, which are selected as
local density maxima. We find that the mass distribution of collapsing cores is
consistent with the stellar initial mass function (IMF), suggesting that
super-sonic turbulence may be responsible for the generation of the IMF.
  To support this conclusion we also show that the physical properties of the
numerically selected cores are in agreement with the properties of observed
NH$_3$ cores and that their magnetic field strength is consistent with Zeeman
splitting measurements.
  In turbulent MCs, star formation occurs via the gravitational collapse of
super-critical cores, formed by the turbulent flow, sub-critical cores being
irrelevant for the process of star formation.
","[{""version"":""v1"",""created"":""Sat, 11 Nov 2000 23:43:19 GMT""}]","2007-05-23"
"astro-ph/0011230","Stephen S. Eikenberry","Stephen Eikenberry (Cornell University)","Three modes of long wavelength flaring from GRS 1915+105: implications
  for jet formation","4 pages, 2 figures, to be published in `Proceedings of the Third
  Microquasar Workshop: Granada Workshop on galactic relativistic jet sources',
  Eds A. J.Castro-Tirado, J. Greiner and J. M. Paredes, Astrophysics and Space
  Science, in press","Astrophys.Space Sci. 276 (2001) 101-104",,,"astro-ph",,"  GRS 1915+105 has exhibited at least three modes of long-wavelength (infrared
to radio) flares. Class A flares are the bright ($\sim 1$ Jy) radio events
whose apparent superluminal motion in many ways defines the microquasars. Class
B flares have intermediate ($\sim 50-300$ mJy) flux densities in the IR and
radio, and are associated with hard X-ray dipping behaviors. Class C flares are
faint ($\sim 5-50$ mJy) IR/radio events associated with soft X-ray dips. We
discuss each of these classes and their inter-relationships.
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 03:55:13 GMT""}]","2007-05-23"
"astro-ph/0011232","Aya Kubota","Aya Kubota (1), Tsunefumi Mizuno (2), Kazuo Makishima (1), Yasushi
  Fukazawa (2), Jun'ichi Kotoku (1), Tomohisa Ohnishi (1), Makoto Tashiro (3)
  ((1) University of Tokyo, (2) Hiroshima University (3) Saitama University)","Discovery of Spectral Transitions from Two Ultra-Luminous Compact X-Ray
  Sources in Ic342","11 pages, 3 figures; acceoted for ApJL",,"10.1086/318903",,"astro-ph",,"  Two {\it ASCA} observations were made of two ultra-luminous compact X-ray
sources (ULXs), Source 1 and Source 2, in the spiral galaxy IC 342. In the 1993
observation, Source 2 showed a 0.5--10 keV luminosity of $6 \times 10^{39}$
ergs s$^{-1}$ (assuming a distance of 4.0 Mpc), and a hard power-law spectrum
of photon index $\sim 1.4$. As already reported, Source 1 was $\sim 3$ times
brighter on that occasion, and exhibited a soft spectrum represented by a
multi-color disk model of inner-disk temperature $ \sim 1.8$ keV. The second
observation made in February 2000 revealed that Source 1 had made a transition
into a hard spectral state, while Source 2 into a soft spectral state. The ULXs
are therefore inferred to exhibit two distinct spectral states, and sometimes
make transitions between them. These results significantly reinforce the
scenario which describes ULXs as mass-accreting black holes.
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 12:53:50 GMT""}]","2009-10-31"
"cond-mat/0011206","Petr Kral","Petr Kral","Quantum kinetic theory of shift current electron pumping in
  semiconductors","23 pages, 5 figures (Latex)","J. Phys.: Condens. Matter 12, 4851-4868 (2000)","10.1088/0953-8984/12/22/317",,"cond-mat.mtrl-sci",,"  We develop a theory of laser beam generation of shift currents in
non-centrosymmetric semiconductors. The currents originate when the excited
electrons transfer between different bands or scatter inside these bands, and
asymmetrically shift their centers of mass in elementary cells. Quantum kinetic
equations for hot-carrier distributions and expressions for the induced
currents are derived by nonequilibrium Green functions. In applications, we
simplify the approach to the Boltzmann limit and use it to model laser-excited
GaAs in the presence of LO phonon scattering. The shift currents are calculated
in a steady-state regime.
","[{""version"":""v1"",""created"":""Sat, 11 Nov 2000 17:14:19 GMT""}]","2009-10-31"
"cond-mat/0011207","Carlos A. R. Sa de Melo","C. D. Vaccarella and C. A. R. Sa de Melo","Phase Fluctuations and Vortex Lattice Melting in Triplet
  Quasi-One-Dimensional Superconductors at High Magnetic Fields","4 pages (double column), 1 eps figure",,"10.1103/PhysRevB.63.180505",,"cond-mat.supr-con cond-mat.str-el",,"  Assuming that the order parameter corresponds to an equal spin triplet
pairing symmetry state, we calculate the effect of phase fluctuations in
quasi-one-dimensional superconductors at high magnetic fields applied along the
y (b') axis. We show that phase fluctuations can destroy the theoretically
predicted triplet reentrant superconducting state, and that they are
responsible for melting the magnetic field induced Josephson vortex lattice
above a magnetic field dependent melting temperature Tm.
","[{""version"":""v1"",""created"":""Sat, 11 Nov 2000 20:32:02 GMT""}]","2009-10-31"
"cs/0011015","Ming-Yang Kao","Ming-Yang Kao, Tak-Wah Lam, Wing-Kin Sung, Hing-Fung Ting","A Decomposition Theorem for Maximum Weight Bipartite Matchings","The journal version will appear in SIAM Journal on Computing. The
  conference version appeared in ESA 1999",,,,"cs.DS cs.DM",,"  Let G be a bipartite graph with positive integer weights on the edges and
without isolated nodes. Let n, N and W be the node count, the largest edge
weight and the total weight of G. Let k(x,y) be log(x)/log(x^2/y). We present a
new decomposition theorem for maximum weight bipartite matchings and use it to
design an O(sqrt(n)W/k(n,W/N))-time algorithm for computing a maximum weight
matching of G. This algorithm bridges a long-standing gap between the best
known time complexity of computing a maximum weight matching and that of
computing a maximum cardinality matching. Given G and a maximum weight matching
of G, we can further compute the weight of a maximum weight matching of G-{u}
for all nodes u in O(W) time.
","[{""version"":""v1"",""created"":""Sat, 11 Nov 2000 16:35:59 GMT""}]","2007-05-23"
