"astro-ph/0012040","Alexander Kusenko","Alexander Kusenko and Vadim A. Kuzmin","Possible galactic sources of ultrahigh-energy cosmic rays and a strategy
  for their detection via gravitational lensing","3 pages, one figure; references added","Pisma Zh.Eksp.Teor.Fiz.73:503,2001; JETP Lett.73:443-445,2001","10.1134/1.1385653","UCLA/00/TEP/28, BNL-HET-00/43","astro-ph hep-ph",,"  If decays of superheavy relic particles in the galactic halo are responsible
for ultrahigh-energy cosmic rays, these particles must be clustered to account
for small-scale anisotropy in the AGASA data. We show that the masses of such
clusters are large enough for them to gravitationally lens stars and galaxies
in the background. We propose a general strategy that can be used to detect
such clusters via gravitational lensing, or to rule out the hypothesis of
decaying relic particles as the origin of highest-energy cosmic rays.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 23:50:20 GMT""},{""version"":""v2"",""created"":""Thu, 12 Apr 2001 23:39:19 GMT""}]","2014-10-13"
"astro-ph/0012051","Renyue Cen","Renyue Cen (Princeton University Observatory)","Why Are There Dwarf Spheroidal Galaxies?","4 ApJ pages, submitted to ApJ Letters",,"10.1086/319176",,"astro-ph",,"  There appears to exist a conflict between the standard structure formation
theory and the existence of the faint dwarf spheroidal galaxies in the Local
Group. Theoretical considerations suggest that a cold dark matter universe has
been a very hostile place for the formation of small galaxies. In particular,
gas would not have been able to cool and condense to form stars inside dark
matter halos with a velocity dispersion <10km/s since before the cosmological
reionization epoch. In other words, one should not expect to see any major star
formation activities in dwarf galaxies with a velocity dispersion <10km/s
during the past 12Gyr, according to the current structure formation theory. The
real universe, on the other hand, shows that all dwarf spheroidal galaxies in
the Local Group have velocity dispersions <10km/s and extended and recent star
formation activities are quite common in them. This apparent conflict between
cold dark matter models and local observations can be resolved, if one allows
the cold dark matter particles to decay relatively recently. The resolution
comes about in that the dwarf spheroidal galaxies with a velocity dispersion of
\~10km/s seen today were born, in this picture, in a small fraction of halos
with a velocity dispersion of ~20km/s, where gas can be retained and is able to
cool and contract to form stars. The presently observed lower velocity
dispersion ~10km/s of these dwarf spheroidal galaxies is a consequence of the
decay of one half of the dark matter in and subsequent expansion of the halos
since redshift z~2.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 16:47:57 GMT""}]","2009-10-31"
"astro-ph/0012052","Marshall Joy","Marshall Joy, Samuel LaRoque, Laura Grego, John E. Carlstrom, Kyle
  Dawson, Harald Ebeling, William L. Holzapfel, Daisuke Nagai, and Erik D.
  Reese","Sunyaev-Zel'dovich Effect Imaging of Massive Clusters of Galaxies at
  Redshift z > 0.8","9 pages, 1 figure, accepted for publication in ApJ Letters","Astrophys.J.551:L1-L4,2001","10.1086/319833",,"astro-ph",,"  We present Sunyaev-Zel'dovich Effect (SZE) imaging observations of three
distant (z > 0.8) and highly X-ray luminous clusters of galaxies, Cl1226+33,
Cl0152-13 and MS1054-03. Two of the clusters, Cl1226+33 and Cl0152-13, were
recently discovered in deep ROSAT x-ray images. Their high X-ray luminosity
suggests that they are massive systems which, if confirmed, would provide
strong constraints on the cosmological parameters of structure formation
models. Our Sunyaev-Zel'dovich Effect data provide confirmation that they are
massive clusters similar to the well studied cluster MS1054-03. Assuming the
clusters have the same gas mass fraction as that derived from SZE measurements
of eighteen known massive clusters, we are able to infer their mass and
electron temperature from the SZE data. The derived electron temperatures are
9.8, 8.7, and 10.4 keV, respectively, and we infer total masses of ~2 x 10^14
h^-1 Msun within a radius of 65 arcsec (340 h^{-1} kpc) for all three clusters.
For Cl0152-13 and MS1054-03 we find good agreement between our SZE derived
temperatures and those inferred from X-ray spectroscopy. No X-ray derived
temperatures are available for Cl1226+33, and thus the SZE data provide the
first confirmation that it is indeed a massive system. The demonstrated ability
to determine cluster temperatures and masses from SZE observations without
access to X-ray data illustrates the power of using deep SZE surveys to probe
the distant universe.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 16:00:21 GMT""},{""version"":""v2"",""created"":""Mon, 5 Mar 2001 17:52:27 GMT""}]","2008-12-18"
"astro-ph/0012068","Daniela Calzetti","D. Calzetti and M. Giavalisco (Space Telescope Science Institute)","The Properties of High Redshift Galaxies","Summary of the Discussion Session on ``Evolution with Redshift'' at
  the Conference on The Evolution of Galaxies. I - Observational Clues, edited
  by J.M. Vilchez, G. Stasinska and E. Perez, Astrophysics and Space Science
  (Kluwer, The Netherlands). 10 Latex pages plus 2 encapsulated postscript
  figures. Uses the Kluwer's style files","Astrophys.Space Sci. 277 (2001) 609-617","10.1023/A:1012742510785",,"astro-ph",,"  In recent years, a variety of techniques at optical, near-infrared, sub-mm,
and radio wavelengths have opened complementary windows on the high-redshift
Universe. Here we review the current understanding of the general properties of
the z>~2 galaxies detected in the optical (Lyman-break galaxies) and in the
sub-mm (SCUBA sources). We list some of the key questions that need to be
answered in order to understand the nature and evolution of the high-redshift
galaxies. Wherever possible, we present tentative answers given so far to those
questions, in particular on the low-redshift couterparts of the high-redshift
galaxies, on the impact of dust obscuration on the observed quantities, and on
physical characteristics of the high-z systems as inferred from observations.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 22:45:30 GMT""}]","2009-10-31"
"astro-ph/0012080","Ian Tregillis","T. W. Jones (1), I. L. Tregillis (1), Dongsu Ryu (2) ((1) University
  of Minnesota, Minneapolis, USA, (2) Chungnam National University, Daejun,
  Korea)","3D MHD Simulations of Radio Galaxies Including Nonthermal Electron
  Transport","12 pages, 6 figures; to appear in ""Particles and Fields in Radio
  Galaxies"", Eds. Robert A. Laing and Katherine M. Blundell, ASP Conference
  Series",,,,"astro-ph",,"  We report on an effort to study the connections between dynamics in simulated
radio galaxy plasma flows and the properties of nonthermal electron populations
carried in those flows. To do this we have introduced a new numerical scheme
for electron transport that allows a much more detailed look at this problem
than has been possible before. Especially when the dynamics is fully three
dimensional the flows are generally chaotic in the cocoon, and the jet itself
can flail about violently. The bending jet can pinch itself off and redirect
itself to enhance its penetration of the ambient medium. These behaviors often
eliminate the presence of a strong jet termination shock, which is assumed
present in all modern cartoon models of the RG phenomenon. Instead a much more
complex ``shock web'' forms near the end of the jet that leads to a far less
predictable pattern of particle acceleration. Similarly, the magnetic fields in
these flows are highly filamented, as well as spatially and temporally
intermittent. This leads to a very localized and complex pattern of synchrotron
aging for relativistic electron populations, which makes it difficult to use
properties of the electron spectrum to infer the local rate of aging.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 17:54:11 GMT""}]","2007-05-23"
"astro-ph/0012081","Ian Tregillis","I. L. Tregillis (1), T. W. Jones (1), Dongsu Ryu (2) ((1) University
  of Minnesota, Minneapolis, USA, (2) Chungnam National University, Daejun,
  Korea)","Nonthermal Emission in Radio Galaxies from Simulated Relativistic
  Electron Transport in 3D MHD Flows","4 pages, 2 figures; to appear in ""Particles and Fields in Radio
  Galaxies"", Eds. Robert A. Laing and Katherine M. Blundell, ASP Conference
  Series",,,,"astro-ph",,"  We perform a series of so-called ``synthetic observations'' on a set of 3D
MHD jet simulations which explicitly include energy-dependent transport of
relativistic electrons, as described in the companion paper by Jones,
Tregillis, & Ryu. Analyzing them in light of the complex source dynamics and
energetic particle distributions described in that paper, we find that the
standard model for radiative aging in radio galaxies does not always adequately
reflect the detailed source structure.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 18:11:23 GMT""}]","2007-05-23"
"astro-ph/0012082","Paolo Catelan","Paolo Catelan (Caltech) and Cristiano Porciani (IoA)","Correlations of Cosmic Tidal Fields","6 pgs, 4 figs, using amssym.sty and mn.sty - MNRAS (in press)","Mon.Not.Roy.Astron.Soc. 323 (2001) 713","10.1046/j.1365-8711.2001.04250.x",,"astro-ph",,"  We study correlations amongst tidal fields originated by the large-scale
distribution of matter in the Universe. The two-point tidal correlation is
described as a rank-4 tensor, whose elements can be written in terms of four
fundamental scalar functions ranging, with respect the spatial separation, from
purely transversal to purely longitudinal correlations. Tidal fields, both on
galaxy and cluster scales, reveal to be correlated over distances larger than
the mass-density correlation lenght, though traceless tidal fields show
anti-correlation between diagonal terms along orthogonal directions. The
cross-correlation between mass and tidal field is also analyzed. These results
are relevant for galaxy formation and the interpretation of large-scale weak
lensing phenomena.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 19:43:34 GMT""}]","2015-06-24"
"astro-ph/0012083","Gordon T. Richards","Donald P. Schneider (1), Xiaohui Fan (2 and 3), Michael A. Strauss
  (2), James E. Gunn (2), Gordon T. Richards (1), Gary J. Hill (4), Phillip J.
  MacQueen (4), Lawrence W. Ramsey (1), et al. ((1) Penn State, (2) Princeton,
  (3) IAS, (4) Texas)","High-Redshift Quasars Found in Sloan Digital Sky Survey Commissioning
  Data V. Hobby-Eberly Telescope Observations","20 pages, 4 figures, AJ accepted","Astron.J. 121 (2001) 1232-1240","10.1086/319422",,"astro-ph",,"  We report the discovery of 27 quasars with redshifts between 3.58 and 4.49.
The objects were identified as high-redshift candidates based on their colors
in Sloan Digital Sky Survey commissioning data. The redshifts were confirmed
with low resolution spectra obtained at the Hobby-Eberly Telescope. The
quasars' $i^*$ magnitudes range from 18.55 to 20.97. Nearly 60% of the quasar
candidates observed are confirmed spectroscopically as quasars. Two of the
objects are Broad Absorption Line quasars, and several other quasars appear to
have narrow associated absorption features.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 20:04:32 GMT""}]","2009-10-31"
"astro-ph/0012084","Massimiliano Bonamente","Max Bonamente and Richard Lieu","EUV and soft X-rays from clusters of galaxies - the `cluster
  soft-excess' phenomenon","An invited review at the International Dark Matter meeting IDM2000,
  Sept 2000, York (England)",,"10.1142/9789812811363_0006",,"astro-ph",,"  Clusters of galaxies are strong emitters of EUV and soft X-rays substantially
in excess of the contribution from the hot intra-cluster medium at X-ray
temperatures. After the initial discovery of EUV excess emission in the Virgo
cluster, the phenomenon was reported also for the Coma, A1795 and A2199
clusters. Recent reobservations confirmed the finding, and further searches on
a large sample of nearby galaxy clusters are clearly revealing the cosmological
impact of the discovery.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 20:27:22 GMT""}]","2016-11-03"
"astro-ph/0012085","Michael Blanton","SDSS Collaboration, M. R. Blanton, et al","The Luminosity Function of Galaxies in SDSS Commissioning Data","49 pages, including 23 figures, accepted by AJ; some minor textual
  changes, plus an important change in comparison to LCRS","Astron.J. 121 (2001) 2358-2380","10.1086/320405","FERMILAB-Pub-00/323-A","astro-ph",,"  During commissioning observations, the Sloan Digital Sky Survey (SDSS) has
produced one of the largest existing galaxy redshift samples selected from CCD
images. Using 11,275 galaxies complete to r^* = 17.6 over 140 square degrees,
we compute the luminosity function of galaxies in the r^* band over a range -23
< M < -16 (for h=1). The result is well-described by a Schechter function with
parameters phi_* = 0.0146 +/- 0.0012 h^3 Mpc^{-3}, M_* = -20.83 +/- 0.03, and
alpha = -1.20 +/- 0.03. The implied luminosity density in r^* is j = (2.6 +/-
0.3) x 10^8 h L_sun Mpc^{-3}. The surface brightness selection threshold has a
negligible impact for M < -18. We measure the luminosity function in the u^*,
g^*, i^*, and z^* bands as well; the slope at low luminosities ranges from
alpha=-1.35 to alpha=-1.2. We measure the bivariate distribution of r^*
luminosity with half-light surface brightness, intrinsic color, and morphology.
High surface brightness, red, highly concentrated galaxies are on average more
luminous than low surface brightness, blue, less concentrated galaxies. If we
synthesize results for R-band or b_j-band using the Petrosian magnitudes with
which the SDSS measures galaxy fluxes, we obtain luminosity densities 2.0 times
that found by the Las Campanas Redshift Survey in R and 1.4 times that found by
the Two-degree Field Galaxy Redshift Survey in b_j. We are able to reproduce
the luminosity functions obtained by these surveys if we also mimic their
isophotal limits for defining galaxy magnitudes, which are shallower and more
redshift dependent than the Petrosian magnitudes used by the SDSS. (Abridged)
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 00:02:09 GMT""},{""version"":""v2"",""created"":""Thu, 8 Feb 2001 19:57:46 GMT""}]","2015-06-24"
"astro-ph/0012086","Alexandre Refregier","Alexandre Refregier (Cambridge), Romain Teyssier (CEA/Saclay)","Numerical and Analytical Predictions for the Large-Scale
  Sunyaev-Zel'dovich Effect","17 revtex pages, including 8 postscript and 3 jpeg figures. Submitted
  to Phys. Rev. D. Figures also available at http://www.ast.cam.ac.uk/~ar",,"10.1103/PhysRevD.66.043002",,"astro-ph",,"  The hot gas embedded in the large-scale structures in the Universe produces
secondary fluctuations in the Cosmic Microwave Background (CMB). Because it is
proportional to the gas pressure integrated along the line of sight, this
effect, the thermal Sunyaev-Zel'dovich (SZ) effect, provides a direct measure
of large-scale structure and of cosmological parameters. We study the
statistical properties of this effect using both hydrodynamical simulations and
analytical predictions from an extended halo model. The Adaptive Mesh
Refinement scheme, used in the newly developed code RAMSES, provides a dynamic
range of 4 order of magnitudes, and thus allows us to significantly improve
upon earlier calculations. After accounting for the finite mass resolution and
box size of the simulation, we find that the halo model agrees well with the
simulations. We discuss and quantify the uncertainty in both methods, and thus
derive an accurate prediction for the SZ power spectrum in the 10^2<l<10^5
range of multipole. We show how this combined analytical and numerical approach
is essential for accuracy, and useful for the understanding of the physical
processes and scales which contribute to large-scale SZ anisotropies.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 00:04:21 GMT""}]","2013-05-29"
