"astro-ph/0012419","Michael T. Murphy","M. T. Murphy (UNSW), J. K. Webb (UNSW), V. V. Flambaum (UNSW), V. A.
  Dzuba (UNSW), C. W. Churchill (PSU), J. X. Prochaska (OCIW), J. D. Barrow
  (DAMTP), A. M. Wolfe (UCSD)","Possible evidence for a variable fine structure constant from QSO
  absorption lines: motivations, analysis and results","17 pages, 3 figures, MNRAS in press, corrected small typos and added
  an acknowledgment","Mon.Not.Roy.Astron.Soc.327:1208,2001","10.1046/j.1365-8711.2001.04840.x",,"astro-ph gr-qc hep-th nucl-th physics.atom-ph",,"  An experimental search for variation in the fundamental coupling constants is
strongly motivated by modern high-energy physics theories. Comparison of quasar
absorption line spectra with laboratory spectra provides a sensitive probe for
variability of the fine structure constant, alpha, over cosmological
time-scales. We have previously developed and applied a new method providing an
order of magnitude gain in precision over previous optical astrophysical
constraints. Here we extend that work by including new quasar spectra of damped
Lyman-alpha absorption systems. We also re-analyse our previous lower redshift
data and confirm our initial results. The constraints on alpha come from
simultaneous fitting of absorption lines of subsets of the following species:
Mg I, Mg II, Al II, Al III, Si II, Cr II, Fe II, Ni II and Zn II. We present a
detailed description of our methods and results based on an analysis of 49
quasar absorption systems (towards 28 QSOs) covering the redshift range 0.5 < z
< 3.5. There is statistical evidence for a smaller alpha at earlier epochs:
da/a = (-0.72 +/- 0.18) * 10^{-5}. The new and original samples are independent
but separately yield consistent and significant non-zero values of da/a. We
summarise the results of a thorough investigation of systematic effects
published in a companion paper. The value we quote above is the raw value, not
corrected for any of these systematic effects. The only significant systematic
effects so far identified, if removed from our data, would lead to a more
significant deviation of da/a from zero.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 22:50:04 GMT""},{""version"":""v2"",""created"":""Thu, 28 Dec 2000 22:59:05 GMT""},{""version"":""v3"",""created"":""Fri, 19 Jan 2001 02:18:10 GMT""},{""version"":""v4"",""created"":""Sun, 22 Jul 2001 06:36:20 GMT""},{""version"":""v5"",""created"":""Tue, 4 Sep 2001 06:18:42 GMT""}]","2008-11-26"
"astro-ph/0012437","Thomas","Jens Thomas and Hartmut Schulz","Classification of multifluid CP world models","12 pages, 11 figures, latex, A&A in press","A&A 366, 395-406","10.1051/0004-6361:20000103",,"astro-ph",,"  Various classification schemes exist for homogeneous and isotropic (CP) world
models, which include pressureless matter (so-called dust) and Einstein's
cosmological constant Lambda. We here classify the solutions of more general
world models consisting of up to four non-interacting fluids, each with
pressure P, energy density epsilon and an equation of state P = (gamma - 1)
epsilon with 0 <= gamma <= 2.
  In addition to repulsive fluids with negative pressure and positive energy
density, which generalize the classical repulsive (positive) Lambda component,
we consider fluids with negative energy density as well. The latter generalize
a negative Lambda component. This renders possible new types of models that do
not occur among the classical classifications of world models. Singularity-free
periodic solutions as well as further `hill-type', `hollow-type' and
`shifting-type' models are feasible.
  However, if one only allows for three components (dust, radiation and one
repulsive component) in a spatially flat universe the repulsive classical
Lambda fluid (with Lambda > 0) tends to yield the smoothest fits of the
Supernova Ia data from Perlmutter et al. (1999). Adopting the SN Ia
constraints, exotic negative energy density components can be fittingly
included only if the universe consists of four or more fluids.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 16:06:31 GMT""}]","2009-10-31"
"astro-ph/0012438","Adriano Hoth Cerqueira","Adriano H. Cerqueira, Elisabete M. de Gouveia Dal Pino (IAG-USP)","On the Influence of Magnetic Fields on the Structure of Protostellar
  Jets","13 pages, 3 figures, Accepted by ApJ Letters after minor corrections
  (for high resolution figures, see http://www.iagusp.usp.br/~adriano/h.tar)","ApJ, 550, L91-L94 (2001)","10.1086/319494",,"astro-ph",,"  We here present the first results of fully three-dimensional (3-D) MHD
simulations of radiative cooling pulsed (time-variable) jets for a set of
parameters which are suitable for protostellar outflows. Considering different
initial magnetic field topologies in approximate $equipartition$ with the
thermal gas, i.e., (i) a longitudinal, and (ii) a helical field, both of which
permeating the jet and the ambient medium; and (iii) a purely toroidal field
permeating only the jet, we find that the overall morphology of the pulsed jet
is not very much affected by the presence of the different magnetic field
geometries in comparison to a nonmagnetic calculation. Instead, the magnetic
fields tend to affect essentially the detailed structure and emission
properties behind the shocks at the head and at the pulse-induced internal
knots, particularly for the helical and toroidal geometries. In these cases, we
find, for example, that the $H_\alpha$ emissivity behind the internal knots can
be about three to four times larger than that of the purely hydrodynamical jet.
We also find that some features, like the nose cones that often develop at the
jet head in 2-D calculations involving toroidal magnetic fields, are smoothed
out or absent in the 3-D calculations.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 16:33:57 GMT""},{""version"":""v2"",""created"":""Thu, 15 Feb 2001 21:30:36 GMT""}]","2009-10-31"
"astro-ph/0012439","Stefano Borgani","S. Borgani (INFN, Trieste, Italy), L. Guzzo (Osservatorio Astronomico
  di Brera, Merate, Italy)","X-ray Clusters of Galaxies as Tracers of Structure in the Universe","27 pages, 7 figures, to appear as a Review in Nature, 4 January 2001
  issue (higher resolution figures available at
  http://www.daut.univ.trieste.it/borgani/Nature/)",,"10.1038/35051000",,"astro-ph",,"  Clusters of galaxies outline the network of the distribution of visible
matter in the Universe, marking the highest-mass knots where filamentary
structures join together. If we observe the sky in X rays, clusters of galaxies
stand out as cosmic lighthouses by virtue of a thin gas trapped and heated
within their gravitational potential wells. This powerful emission is directly
linked to the total gravitating mass they contain, such that they can be
efficiently used as tracers of the cosmic mass distribution within a sizeable
fraction of the observable Universe. Recent observational campaigns have for
the first time used X-ray clusters to map cosmic structures on scales
approaching 3 billion light years. The emerging picture is remarkably
consistent with the expectation of a low-density Universe dominated by cold
dark matter.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 17:28:15 GMT""}]","2009-10-31"
"astro-ph/0012440","Eric van der Swaluw","E. van der Swaluw, A. Achterberg, Y.A. Gallant and G. T\'oth","Pulsar wind nebulae in supernova remnants","10 pages, 9 figures, submitted to Astronomy and Astrophysics",,,,"astro-ph",,"  A spherically symmetric model is presented for the interaction of a pulsar
wind with the associated supernova remnant. This results in a pulsar wind
nebula whose evolution is coupled to the evolution of the surrounding supernova
remnant. This evolution can be divided in three stages. The first stage is
characterised by a supersonic expansion of the pulsar wind nebula into the
freely expanding ejecta of the progenitor star. In the next stage the pulsar
wind nebula is not steady; the pulsar wind nebula oscillates between
contraction and expansion due to interaction with the reverse shock of the
supernova remnant: reverberations which propagate forward and backward in the
remnant. After the reverberations of the reverse shock have almost completely
vanished and the supernova remnant has relaxed to a Sedov solution, the
expansion of the pulsar wind nebula proceeds subsonically. In this paper we
present results from hydrodynamical simulations of a pulsar wind nebula through
all these stages in its evolution. The simulations were carried out with the
Versatile Advection Code.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 18:21:07 GMT""}]","2007-05-23"
"astro-ph/0012441","Henri M. J. Boffin","V. Stanishev, Z. Kraicheva, H.M.J. Boffin & V. Genkov","IY UMa: accretion disc evolution after superoutburst","4 pages, accepted by A&A",,,,"astro-ph",,"  CCD photometry of the newly discovered eclipsing dwarf nova IY UMa is used to
study the physical properties of the accretion disc in the late decline and
quiescence stages. Eclipse mapping analysis shows that in these stages the
accretion disc is cool with approximately flat radial brightness temperature
distribution and T_BR about 5000-5500 K. The hot spot is found to lie close
along the stream trajectory at distance 0.36a and 0.25a from the disc center in
February and March. The orbital hump strength decreases by about 30 % in a
month. Taking the smallest possible size of the hot spot, we derive an upper
limit for its brightness temperature, 15900 K and 13800 K, respectively.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 17:49:05 GMT""}]","2007-05-23"
"astro-ph/0012442","Richard L. White","David J. Helfand, Remington P.S. Stone, Beth Willman, Richard L.
  White, Robert H. Becker, Trevor Price, Michael D. Gregg, Richard G. McMahon","Long-term Optical Variability of Radio-Selected Quasars from the FIRST
  Survey","16 pages, 8 figures To be published in 2001 April 1 Astronomical
  Journal",,"10.1086/319971",,"astro-ph",,"  We have obtained single-epoch optical photometry for 201 quasars, taken from
the FIRST Bright Quasar Survey, which span a wide range in radio loudness.
Comparison with the magnitudes of these objects on the POSS-I plates provides
by far the largest sample of long-term variability amplitudes for
radio-selected quasars yet produced. We find the quasars to be more variable in
the blue than in the red band, consistent with work on optically selected
samples. The previously noted trend of decreasing variability with increasing
optical luminosity applies only to radio-quiet objects. Furthermore, we do not
confirm a rise in variability amplitude with redshift, nor do we see any
dependence on radio flux or luminosity. The variability over a radio-optical
flux ratio range spanning a factor of 60,000 from radio-quiet to extreme
radio-loud objects is largely constant, although there is a suggestion of
greater variability in the extreme radio-loud objects. We demonstrate the
importance of Malmquist bias in variability studies, and develop a procedure to
correct for the bias in order to reveal the underlying variability properties
of the sample.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 17:56:51 GMT""}]","2009-10-31"
"astro-ph/0012443","Riccardo Giovanelli","Riccardo Giovanelli (Cornell University)","Optical Seeing and Infrared Atmospheric Transparency in the Upper
  Atacama Desert","8 pages, 4 figures, LaTex, to appear in Procs. of IAU Workshop
  ""Astronomical Site Evaluation in the Optical and Radio Range"" held at
  Marrakech, Nov. 2000",,,,"astro-ph",,"  With plans to build a large IR/optical telescope in the Atacama Desert, a
site survey campaign has been underway since 1998 to characterize the optical
seeing and the IR transparency in the Chajnantor Plateau region. Preliminary
results indicate that the Chajnantor region offers excellent astronomical
observing conditions in the optical and IR. The region is isolated yet easy to
reach, and high quality services are available nearby. We can expect to find:
median optical FWHM seeing approaching values of 0.5""--0.6"", a percentage of
photometric nights of 65% or better, of astronomically useful nights in excess
of 80% and median PWV well below 1 mm (with best quartile below 0.5 mm).
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 18:15:56 GMT""}]","2007-05-23"
"astro-ph/0012444","Anvar Shukurov","Anvar Shukurov","A Dynamic Interstellar Medium: Recent Numerical Simulations","9 pages, 1 table, no figures, LaTEX","In: Plasma Turbulence and Energetic Particles in Astrophysics,
  Eds. M. Ostrowski & R. Schlickeiser, Univ. Jagiellonski, Krakow, 1999, pp.
  66-73, ISBN 83-908592-0-3",,,"astro-ph",,"  Recent numerical simulations of the interstellar medium driven by energy
input from supernovae and stellar winds indicate that HI clouds can be formed
by compression in shock waves and colliding turbulent streams without any help
from thermal and gravitational instabilities. The filling factor of the hot
phase in these models does not exceed 20-40% at the midplane. The hot gas is
involved in a systematic vertical outflow at |z|<1-3 kpc, similar to that
expected for galactic fountains, whereas the warm component may remain in
hydrostatic equilibrium. The turbulent velocity is larger in the warmer phases,
being 3, 10 and 40 km/s in the cool, warm and hot phases, respectively,
according to one of the simulations. The models exhibit global variability in
the total kinetic and thermal energy and star formation rate at periods of
(0.4-4)x10^8 yr. Current models are still unable to reproduce dynamo action in
the interstellar gas; we briefly discuss implications of the dynamo theory for
turbulent interstellar magnetic fields.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 18:33:35 GMT""}]","2007-05-23"
"astro-ph/0012445","John E. Gizis","John E. Gizis (1), J. Davy Kirkpatrick (1), John C. Wilson (2) ((1)
  IPAC/Caltech,(2) Cornell University)","A 2MASS L Dwarf Companion to the Nearby K Dwarf GJ 1048","to appear in April 2001 Astronomical Journal",,"10.1086/319937",,"astro-ph",,"  We report the discovery of a probable L1 companion to the nearby K2 dwarf GJ
1048 using the Two Micron All-Sky Survey (2MASS). This source, 2MASSI
J0235599-233120 or GJ 1048B, has 2MASS near-infrared colors and absolute
magnitudes consistent with an early L dwarf companion with a projected
separation of 250 A.U. The L1 spectral type is confirmed by far-red optical and
low-resolution IR spectroscopy. We present evidence that GJ 1048 is a young
(<~1 Gyr) system, and that GJ 1048B may be a high-mass brown dwarf below the
hydrogen-burning limit. Additional studies of the GJ 1048 system will help
constrain the characteristics of L dwarfs as a function of age and mass.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 19:20:53 GMT""}]","2009-10-31"
"astro-ph/0012446","Lisa Storrie-Lombardi","Lisa J. Storrie-Lombardi, Michael J. Irwin, Richard G. McMahon, Isobel
  M. Hook","The Second APM UKST Colour Survey for z>4 Quasars","to appear in MNRAS, 14 pages, 5 figures (figures 1 and 2 are large)","Mon.Not.Roy.Astron.Soc. 322 (2001) 933","10.1046/j.1365-8711.2001.04215.x",,"astro-ph",,"  We present the spectra, positions, and finding charts for 31 bright (R<19.3)
colour-selected quasars covering the redshift range z=3.85-4.78, with 4 having
redshifts z>4.5. The majority are in the southern sky (dec<-25 deg). The quasar
candidates were selected for their red (B-R > 2.5) colours from UK or POSSII
Schmidt Plates scanned at the Automated Plate Measuring facility in Cambridge.
Low resolution (~> 10A) spectra were obtained to identify the quasars,
primarily at the Las Campanas Observatory. The highest redshift quasar in our
survey is at z ~ 4.8 (R = 18.7) and its spectrum shows a damped Lyman-alpha
absorption system at z = 4.46. This is currently the highest redshift damped
Lyman-alpha absorber detected. Five of these quasars exhibit intrinsic broad
absorption line features. Combined with the previously published results from
the first part of the APM UKST survey we have now surveyed a total of ~8000 squ
deg of sky i.e. 40% of the high galactic latitude (|b|>30 deg) sky, resulting
in 59 optically selected quasars in the redshift range 3.85 to 4.78; 49 of
which have z>=4.00.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 19:44:57 GMT""}]","2009-10-31"
